,comments,sentiments,clean_comments
1039,What happened after that we are super excited,1,happen super excited
1040,5 more minutes to go. And then... ,1,5 minute go
1041,Best video,1,best video
1042,And today also there are ranas living in Nepal with all powers and class ...how,1,today also ranas live nepal power class
1043,Ramro sir ji,1,ramro sir ji
1044,bad video misinformation I didn't didnt liked it at all. i hate it,0,bad video misinformation did'nt didnt like hate
1045,I am very sad that they had to sacrifice for the country,0,sad sacrifice country
1046,i did not like the way you talk,0,did not like way talk
1047,some of the data are wrong and poorly reserached,0,data wrong poor research
1048,i wasn't happy watching this wasnt was not but i was sad,0,wasn't happy watch wasnt was not sad
1049,The datas are not arent are'nt right.It isnt is'nt is not good.,0,data are not arent are'nt right isnt is'nt is not good
1050,Aba raja lay kasari rana ko birod garay ra india gara k k agreement bhayo tesko baray ma documentary banauna paryo next episode ma,0,aba raja lay kasari rana ko birod garay ra india gara k k agreement bhayo tesko baray documentary banauna paryo next episode
1051,Babbal,1,babbal
1052,It’s Bhoto Jatra not Bhote Jatra sir,1,it s bhoto jatra bhote jatra sir
1053,rana regime destroy kasari vayo twsko ni part chaiyo,0,rana regime destroy kasari vayo twsko ni part chaiyo
1054,Next story sugaulu treaty?,1,next story sugaulu treaty
1055,Bro asti ko hindu vs budhidist bare vedio banaunw sakxauu bhaney bro,1,bro asti ko hindu v budhidist bare vedio banaunw sakxauu bhaney bro
1056,bir sahid amar rahun ,1,bir sahid amar rahun
1057,कोत पर्वको बारेमा पनि video बनाऊनू परेऊ,1,video
1058,How many going to watch this series again,1,many go watch series
1059,What happens after this sir?,1,happens sir
1060,"how did it even start?????
Prithivi Narayan Shah was the king his son and grandson were supposed to in power?? how did Ranas came to power? and I heard there were good things that ranas did for the people too 
there still are too many unknown things",0,even start prithivi narayan shah king son grandson suppose power rana come power heard good thing ranas people still many unknown thing
1061,part 4 haina hola bro part 3 hola,0,part 4 haina hola bro part 3 hola
1062,recap bhanera sano part could be better... to recall pre. Part,0,recap bhanera sano part could better recall pre part
1063,Still need to fight for the system of Nepal its not different than rana regime,1,still need fight system nepal different rana regime
1064,lakhan thapa story now please,1,lakhan thapa story please
1065,The Nepali comment️,1,nepali comment
1066,This shouldn't be the last part..... We want more,1,shouldnt last part want
1067,Freedom isn't free they fought it!,0,freedom isnt free fought
1068,Dai ko tah Social Studies ma A++ aouthiyo jasto xa,1,dai ko tah social study aouthiyo jasto xa
1069,Beat series in yt fr,1,beat series yt fr
1070,want to support you guys please provide any payment method,1,want support guy please provide payment method
1071,"Will you please research about banking business in nepal.
Some people says banks are frauding with us.
We really wants to the truth",0,please research banking business nepal people say bank frauding u really want truth
1072,3 crores hat ko Salam!,1,3 crore hat ko salam
1073,Thanks,1,thanks
1074,Hi brother ! Aaile yo rabi lammichane le bhaneko 12 bhai patrakar haru ko detail ma video banaunuss  na,1,hi brother aaile yo rabi lammichane le bhaneko 12 bhai patrakar haru ko detail video banaunuss na
1075,Part 3 bhetina maile,0,part 3 bhetina maile
1076,Rana regime kasari end vo banaunu paryo,1,rana regime kasari end vo banaunu paryo
1077,Hajur le Kun Kun book bata yesko inspiration paunu vako ho vanidinu na.,1,hajur le kun kun book bata yesko inspiration paunu vako ho vanidinu na
1078,MCC KO BAREMA ALLI RESEARCH GARERA HALNUS NA HAI,0,mcc ko barema alli research garera halnus na hai
1079,Aba rabi dai ko struggle r aaile vaira ko barema video banaunus na,0,aba rabi dai ko struggle r aaile vaira ko barema video banaunus na
1080,Aba rabi dai ko struggle r aaile vaira ko barema video banaunus na,0,aba rabi dai ko struggle r aaile vaira ko barema video banaunus na
1081,Nepal ko history ko barema thaha paiyo,1,nepal ko history ko barema thaha paiyo
1082,1:39 biska jatra ho slight mistake ani it is bhoto jatra take it positively,1,139 biska jatra ho slight mistake ani bhoto jatra take positively
1083,Magh 16 gatey is my birthday ...that i always feel bad,0,magh 16 gatey birthday always feel bad
1084,Good,1,good
1085,If information was that much controlled by them k aiile aso aaile ni vairaxa they are distracting us,0,information much control k aiile aso aaile ni vairaxa distract u
1086,Waiting,1,wait
1087,Tespaxi congress communists haru le k k garey tesko pani part banaunu na  ...please,1,tespaxi congress communists haru le k k garey tesko pani part banaunu na please
1088,Next part,1,next part
1089,Waiting for resham chaudhary kanda',1,wait resham chaudhary kanda
1090,yesma movie banaunu parxa,1,yesma movie banaunu parxa
1091,What a video,1,video
1092,Yo desh ko lagi uni haru mareka thiye... tyo aat lai samman !!!,1,yo desh ko lagi uni haru mareka thiye tyo aat lai samman
1093,depressing as hell,0,depress hell
1094,part 3 khoi,1,part 3 khoi
1095,khatra!,1,khatra
1096,Bro but Britishers left india in 1947,1,bro britisher leave india 1947
1097,Do a series on why King Mahendra scrapped Democracy in Nepal,1,series king mahendra scrap democracy nepal
1098,The faught but not for this situation they wanted nepal to suceed,1,faught situation want nepal suceed
1099,ganga lal shrestha ek wudharan ho young blood ko,1,ganga lal shrestha ek wudharan ho young blood ko
1100,Sahid ko ragat ani tyag ko faida vaneko bhrastacari ko lagi matra vayo janta ahile pani ustai pida ani avab ma chan,0,sahid ko ragat ani tyag ko faida vaneko bhrastacari ko lagi matra vayo janta ahile pani ustai pida ani avab chan
1101,dai yestai video aaruni banauna paro,1,dai yestai video aaruni banauna paro
1102,Want to know more about sudhir Basnet,1,want know sudhir basnet
1103,12:43 ,1,1243
1104,Nepal Bank  lee kahile dekhii loan dilaa  sir video   Banaunun,0,nepal bank lee kahile dekhii loan dilaa sir video banaunun
1105,hola part part banau nu sajilo hola tara channle ma vaya ko ramro tah akai ma gasara launu ne sjilo heerna lai nee aba secomd chapter kahely 3 kahaelya anime jaso xai garum,0,hola part part banau nu sajilo hola tara channle vaya ko ramro tah akai gasara launu ne sjilo heerna lai nee aba secomd chapter kahely 3 kahaelya anime jaso xai garum
1106,But I didnt found lakhan thapa un this story?,0,didnt find lakhan thapa un story
1107,please correct the thumbnail. 4 martyrs of Nepal but you are also in the middle. this looks very weird,0,please correct thumbnail 4 martyr nepal also middle look weird
1108,Paxi paxi kasari Rana sasan sakiyo Tiyo pani vanu hola,0,paxi paxi kasari rana sasan sakiyo tiyo pani vanu hola
1109,"Nepal ko asto company jun ahile share market ma ghata vairako xa jun paxi ramro pani huna sakxa 
Teslai ligera auta video banauna na .",1,nepal ko asto company jun ahile share market ghata vairako xa jun paxi ramro pani huna sakxa teslai ligera auta video banauna na
1110,अझै  Detials भेटिन मैले,1,detials
1111,Nabujekooo kuro Dashrath chand Nepali ki Indian ho ?? Ani Indian vakooo vaye kina Nepal ko rana ko birodh garekooo any answer ..???,0,nabujekooo kuro dashrath chand nepali ki indian ho ani indian vakooo vaye kina nepal ko rana ko birodh garekooo answer
1112,Part 4,1,part 4
1113,0:36 ,1,036
1114,Gazzab video,1,gazzab video
1115,Sukraraj le chai kasto contribution deko raixa??,0,sukraraj le chai kasto contribution deko raixa
1116,1997???? Judda samsher le bolayo re.... 1952 ma mareko manxey le kasari bolayo,0,1997 judda samsher le bolayo 1952 mareko manxey le kasari bolayo
1117,The Nepali Comment supremacy ️,1,nepali comment supremacy
1118,Part 4 ️,1,part 4
1119,Jpt date vanyo timle.... Date Lai ramrosanga research garera matra vdo banau soltiii,0,jpt date vanyo timle date lai ramrosanga research garera matra vdo banau soltiii
1120,"Nepali story writer haru le yesto story cover garnu, jpt tori story lekchan!",0,nepali story writer haru le yesto story cover garnu jpt tori story lekchan
1121,Ani dai rana sasan ko antya kasri vako tyo pani garnu hai,0,ani dai rana sasan ko antya kasri vako tyo pani garnu hai
1122,They did Dharma Bhakta Mathema dirty.,0,dharma bhakta mathema dirty
1123,Thumbnail ma afulai rakna jaruri theo ra?,0,thumbnail afulai rakna jaruri theo ra
1124,Shahid amar rahun,1,shahid amar rahun
1125,Yesto desh bhakti aba kaha?,0,yesto desh bhakti aba kaha
1126,ko sahid  lai kun thau maa fasi diyo ra mariyo vanera ni vaneko vaye ajha ramro hunthiyo ni,0,ko sahid lai kun thau maa fasi diyo ra mariyo vanera ni vaneko vaye ajha ramro hunthiyo ni
1127,Malai yo date chai chitta bujena hai.. Ali,0,malai yo date chai chitta bujena hai ali
1128,Dharma bhakta le rana lai thukeko story ne cha,0,dharma bhakta le rana lai thukeko story ne cha
1129,Bhimsen thapa ko pani ?,1,bhimsen thapa ko pani
1130,18* below viewers excreted,1,18 viewer excrete
1131,Jaya sahid,1,jaya sahid
1132,Bir Sahid Amar Rahun,1,bir sahid amar rahun
1133,Tyo bir yoddha haru ko samjhana ma ...,1,tyo bir yoddha haru ko samjhana
1134,Yespachi K vayo,1,yespachi k vayo
1135,Seriously? Thumbnail photo is prank. . At lease your photo in grayscale must not include with martyrs.,1,seriously thumbnail photo prank lease photo grayscale must include martyr
1136,King mahendra jindabad,1,king mahendra jindabad
1137,Khe hoina yo bahunharu chal ho satta pauna tyatikhera dhekhi caal raixa aile bujda sahaidharu sabai kharej garnu parxa,0,khe hoina yo bahunharu chal ho satta pauna tyatikhera dhekhi caal raixa aile bujda sahaidharu sabai kharej garnu parxa
1138,Bhoto jatra**,1,bhoto jatra
1139,Sutni vnyaa hoinwa,0,sutni vnyaa hoinwa
1140,Your picture in the thumbnail was not necessary.,0,picture thumbnail necessary
1141,Search ex-muslim on YouTube.,0,search exmuslim youtube
1142,I really don't like your thumbnail. It's ridiculous that Mauritius are side and you are at center.I'm not extreme nationalist but I really don't like it.,0,really dont like thumbnail ridiculous mauritius side centerim extreme nationalist really dont like
1143,Bir sahid lal salam,1,bir sahid lal salam
1144,Yosh,0,yosh
1145,Rajtantra jindabad,0,rajtantra jindabad
1146,"What I'm going to say is that I never imagined myself as a member of the nation's finest team. We were already late when we began researching our four Martyrs. Because I was sick in the midst, I had to take a little more time to research. However, it put a lot of strain on the other members. They didn't sleep at night and didn't even talk with anyone.  We used to publish four videos per month, but this week we published three. The last segment that we posted today was practically sure to be unavailable today. We had almost given up hope. However, a miracle occurred. Normally, the render takes 90-120 minutes, however today it took only 45 minutes. I'd want to salute my team for their effort. I'm hoping for public support because the team has worked hard on this.",0,im go say never imagine member nation finest team already late begin research four martyr sick midst take little time research however put lot strain member didnt sleep night didnt even talk anyone use publish four video per month week publish three last segment post today practically sure unavailable today almost give hope however miracle occur normally render take 90120 minute however today take 45 minute id want team effort im hop public
1147,Please continue this series. What happened after that? How did rana collapse. We love this series. Please continue this.,1,please continue series happen rana collapse love series please continue
1148,"Would love to see more of our history's video, brother! I hugely respect you and your team's  effort for making such an interesting and informed videos on our great martyrs ",1,would love see historys video brother hugely respect team effort make interesting informed video great martyr
1149,They will never be forgotten. Salute to our martyrs.,1,never forget salute martyr
1150,"The level of editing , animation , voice, research everything is perfect outstanding. Thanks to whole team and Huge respect to our martrys.......LIVE LONG NEPAL",1,level edit animation voice research everything perfect outstanding thanks whole team huge respect martryslive long nepal
1151,Never felt goosebumps while watching YouTube videos before now,1,never felt goosebump watch youtube video
1152,"Heartfelt apologies to all the Martyrs. 
And kudos to the team for great research.",0,heartfelt apology martyr kudos team research
1153,"It's Sad and also shameful at the same time, Our Ancestors fought for the nation without caring about their lives but we here are busy talking shits, seeking excuses, seeking personal benefits. We all Nepalese owe them a beautiful nation which they had dreamed of 
Jay Nepal 🇳🇵",0,sad also shameful time ancestor fought nation without care life busy talk shit seek excuse seek personal benefit nepalese owe beautiful nation dream jay nepal
1154,Such a brave story of Martyrs....forever heroes of Nepal,1,brave story martyrsforever hero nepal
1155,"It was a great series thank you for  showing our history and educating us and The Nepali comment presented so well in order hope to see same content in common days good team work.
It is the cause,not the death,that makes the Martyrs. We will be forever grateful for what you have done for this country 
Salute to our Martyrs who sacrifice themselves for this land and country.
Jay Nepal 🇳🇵",1,great series thank show history educate u nepali comment present well order hope see content common day good team work causenot deaththat make martyr forever grateful do country salute martyr sacrifice land country jay nepal
1156,Never been so much diluted in Nepali videos until this series. Hats off to your research and presentation team! ,0,never much dilute nepali videos series hat research presentation team
1157,Greatest Series of all time. Really enjoyed this. Your and your team's hard work has paid off !,1,great series time really enjoyed team hard work pay
1158,Hats off to you and your team for making this wonderful series on Martyrs. They deserved to be appreciated and people should know their contribution. More hate to the cruelty of Rana.,1,hat team make wonderful series martyr deserve appreciated people know contribution hate cruelty rana
1159,"I had goosebumps all time watching this last part !!!
Keep up the Great work Nepali Comment Team !
We are expecting Great things ahead !
At last 
Bir Shahid Amar Rahos !",1,goosebump time watch last part keep great work nepali comment team expect great thing ahead last bir shahid amar rahos
1160,"Great series, i would love to watch more content about some of the most significant moments in Nepal's history similar to this. Keep it up!",1,great series would love watch content significant moment nepal history similar keep
1161,Your explanation about our history is very appreciatable and anyone can easily understand.🇳🇵️,1,explanation history appreciatable anyone easily understand
1162,Really...hats off to all the team who collected all the data and records which are century old and presenting us a history in such a tasty manner.....love the channel and the contents it has made so far....,1,reallyhats team collect data record century old present u history tasty mannerlove channel content make far
1163,4 played the biggest role in history of Nepal. Hats off to this well defined series,1,4 played big role history nepal hat well define series
1164,"This is why cable TV is dying, when you have creators like 'The Nepali Comment' who create professional amazing documentaries like this. Keep up the fantastic work.",1,cable tv die creator like nepali comment create professional amazing documentary like keep fantastic work
1165,"This channel is Providing more knowledge and information about our ancestors of Nepal then ever, that a social study book can't provide.",1,channel provide knowledge information ancestor nepal ever social study book cant provide
1166,"Thank you for the important information ️Now its our duty to spread the bravery of our Martyr's Story to our next generation ️
We will never forget the dedication and the contribution of our Martyr's ️",1,thank important information now duty spread bravery martyr story next generation never forget dedication contribution martyr
1167,"Another great video series from The Nepali Comment. 
Research was already top. Quite refreshing to see huge leaps in the animations as well. ",1,another great video series nepali comment research already top quite refresh see huge leap animation well
1168,"Such fine work, team. The suspense, the research, animations, colour tone of the video very commendable.",1,fine work team suspense research animation colour tone video commendable
1169,We all should appreciate his work he is working hard,1,appreciate work work hard
1170,"Thank you to the entire team for their effort in bringing this 3 part series to life. You all helped deliver an important part of our history which was untold before, or unknown to wider Populus. 

In the future, I think the viewers will love such content from your team. Keep going, you guys will reach new heights....",1,thank entire team effort bring 3 part series life help deliver important part history untold unknown wider populus future think viewer love content team keep go guy reach new height
1171,Handsoff to our country heroes ,1,handsoff country hero
1172,"Hands down to your research, video editing and so on guys ",1,hand research video edit guy
1173,"We shouldn’t forget what our martyrs did for us 
To save whole nation from cruel rules  love your efforts we want more videos related to history",1,forget martyr u save whole nation rule love effort want video related history
1174,huge respect for our heroes ️,1,huge respect hero
1175,You have an indepth research to bring this forward to us. Kudos to you. You really are the face of quality content.,1,indepth research bring forward u kudos really face quality content
1176,thanks a lot brother and your team for bringing up this wonderful content. keep consistently creating about our history .. bir sahid amar rahun... these guys are the reason behind our freedom right now... kudos to all freedom fighters who kept stake of their life for democracy,1,thanks lot brother team bring wonderful content keep consistently create history bir sahid amar rahun guy reason behind freedom right kudos freedom fighter keep stake life democracy
1177,"You never fail to amaze us with your amazing contents. Keep going. Keep rocking. Very happy to be one of your subscribers And, a big clap to your entire team.",1,amaze u amaze content keep go keep rock happy one subscriber big clap entire team
1178,My grandfather’s elder brother (Hari bahadur khadgi) was also killed during this revolution.dont know the fact but it is said he also got death sentence along with the four martyrs but he was killed inside the prison before his punishment..,1,grandfather s elder brother hari bahadur khadgi also kill revolutiondont know fact say also get death sentence along four martyr kill inside prison punishment
1179,Hats off to you bro. Thank you for the well-described information about the great martyrs.,1,hat bro thank welldescribed information great martyr
1180,"Got goosebumps just thinking about their bravery. Tei ragat ko aile ko hami Nepali haru k vako ho, desh mathi ko anyaya herera basya xam. ",1,get goosebump think bravery tei ragat ko aile ko hami nepali haru k vako ho desh mathi ko anyaya herera basya xam
1181,Huge respect to all martyrs of nepal,1,huge respect martyr nepal
1182,Great Salute to Our Martyrs ️️,1,great salute martyr
1183,"By telling the history you create the history 
thanks for your hard work for us",1,tell history create history thanks hard work u
1184,This should be made as documentary film ...  Thank you so much for this video sir,1,make documentary film thank much video sir
1185,"Aaba film industry's le ta kei garna sakena tara nepali comment huge respect️to the team i have really feel like warching Profesnal webseries
Please continue this series like season 2 cause wea re very curious to know that what happen next️️",1,aaba film industry le ta kei garna sakena tara nepali comment huge respect to team really feel like warching profesnal webseries please continue series like season 2 cause wea curious know happen next
1186,Proud to be a citizen of this country ️,1,proud citizen country
1187,Great work bro... Felt so bad for our martyrs,1,great work bro felt bad martyr
1188,Hatsoff to those heroes!!🇳🇵,1,hatsoff hero
1189,"Wonderful video brother and your team
I really don't study this topic in my school. Thank you very much for this valuable information about our great martyrs.",1,wonderful video brother team really dont study topic school thank much valuable information great martyr
1190,Keep creating content like this appreciation for your whole team,1,keep create content like this appreciation whole team
1191,Salute and Long Life to the young Braveheart’s and Shahids of this land. This country may be not what the shahids imagined it to be. But they liberated this country and we thank them for their sacrifice.,1,salute long life young braveheart s shahids land country may shahids imagined liberated country thank sacrifice
1192,Greatest infotainment series in Nepalese broadcast history. Best wishes and appreciations from Germany!,1,great infotainment series nepalese broadcast history best wish appreciation germany
1193,rest in peace to legend Martyrs,1,rest peace legend martyr
1194,"when I was kid ,I used to be quite bored studying history lecture but from the way you explain it felt quite interesting now .",0,kid use quite bored study history lecture way explain felt
1195,I just felt proud that I want born in the country of martyrs,1,felt proud want born country martyr
1196,This is great I feel very inspired by our martyrs,1,great feel inspire martyr
1197,I've been looking for a you tuber that researches and fact checks on the topic on Nepali topics!! Keep up the good work bruh ,1,ive look tuber research fact check topic nepali topic keep good work bruh
1198,its really sad that we know more about indian martyrs from movies and plays than nepali martyrs... #hatsoff for ur video,0,really sad know indian martyr movie play nepali martyr hatsoff ur video
1199,Nowadays we lack this kind of people in Nepal. Salute to all the martyrs,1,nowadays lack kind people nepal salute martyr
1200,"Thank u so much for this video.we didnt have read this history in school Because these content are not in book why i dont know You deserve  millions of subscribe.In next video plz explain about the first public protest of 2007 establishment of democracy,Establish of congress and communist,The rise of B .p koirala",1,thank u much videowe didnt read history school content book dont know deserve million subscribein next video plz explain first public protest 2007 establishment democracyestablish congress communistthe rise b p koirala
1201,"please continue, i learned a lot about our history though this. Thank you for making such an amazing video.",1,please continue learn lot history though thank make amazing video
1202,"Beautifully presented
Hope to see quality content as this all the time",1,beautifully present hope see quality content time
1203,History Books what? Our Brother Dipesh Tripathi is the best teacher we could ever have. ️️Thank you for such a great content in this filthy business of content creation.,1,history book brother dipesh tripathi best teacher could ever thank great content filthy business content creation
1204,Rip all those legends️,1,rip legend
1205,And again thank you for making this video. We really appreciate your research and work. Just make sure it's all history based on facts.coz people have started trusting you.,1,thank make video really appreciate research work make sure history base factscoz people start trust
1206,Masterpiece ️ just loved your hard work,1,masterpiece love hard work
1207,Thank you so much for the in-depth insight TNC. Hats off to your effort.,1,thank much indepth insight tnc hat effort
1208,Please continue this series ️,1,please continue series
1209,Most appreciated your work. Keep it up.,1,appreciate work keep
1210,Thank you for this series ️,1,thank series
1211,i  want  to  read  the  pamphlet please provide  it in a  link. such  a great  video ️,1,want read pamphlet please provide link great video
1212,A whole new series on rana rise and fall is what I wanna see next in this channel,1,whole new series rana rise fall wanna see next channel
1213,Salute to every Martyrs ,1,salute every martyr
1214,Thank you very much for a lot of additional information we are never taught in school.,1,thank much lot additional information never teach school
1215,hats off for entire team for this tremendous information...,1,hat entire team tremendous information
1216,really appreciate your effort,1,really appreciate effort
1217,Asu nai ayo yar...Big salute to the Martyrs. Thank you for the video!,1,asu nai ayo yarbig salute martyr thank video
1218,Wow .. thank you for this knowledge bro afnu desh ko history yesari prasta rup le herna ra sunna paunda sarai khusi lagyo. You are doing an amazing job with this channel. ,1,wow thank knowledge bro afnu desh ko history yesari prasta rup le herna ra sunna paunda sarai khusi lagyo amaze job channel
1219,I am literally serious this whole content u made is so good then the books i have read from 1 t0 10in my schooll i just learned every part of it without any effort,1,literally serious whole content u make good book read 1 t0 10in schooll learn every part without effort
1220,"Just thinking ""What would happen if rana were still ruling"" aside hats off to you work sir",1,think would happen rana still rule aside hat work sir
1221,"Thank you souch dai, we need more similar like this incident ️",1,thank souch dai need similar like incident
1222,"goosebumbs tears pride honour
salute",1,goosebumbs tear pride honour salute
1223,Brave Martyrs!!,1,brave martyr
1224,Hats off. You definitely deserve more subscriber. I declare that you will be one the of biggest Youtubers in the history of Nepal,1,hat definitely deserve subscriber declare one big youtubers history nepal
1225,Goosebumps ,1,goosebump
1226,"HISTORY of Nepali Congress and UML... Its is also a demanding topic..
If you can please make a video on it.
This series is appreciated ️",1,history nepali congress uml also demand topic please make video series appreciate
1227,Had read about this in course books but can't feel and  understand their contribution that  time... But  these videos is very understandable .... thank you so much ...,1,read course book feel understand contribution time videos understandable thank much
1228,"Hats off to ""the nepali comment"" team . God bless you guys ",1,hat nepali comment team god bless guy
1229,please continue this series . what happened after  that. how did rana collapse . we love this series please continue this.,1,please continue series happen rana collapse love series please continue
1230,Our brave heros ️,1,brave hero
1231,Toms of respect to your effort bro. Atti dami,1,tom respect effort bro atti dami
1232,Thank you so much for letting us know about it️,1,thank much let u know it
1233,Absolutely Magnificent Loved it️,1,absolutely magnificent love it
1234,Amazing. We need many more videos related to our history.,1,amaze need many video related history
1235,I am hooked. I really don't know where this episode fits into the grand scheme of things but it is amazing.,1,hook really dont know episode fit grand scheme thing amaze
1236,I want someone to make a proper live-action movie made on this topic.,1,want someone make proper liveaction movie make topic
1237,Thankyou Sahid bir haru thankyou for every thing that you have done for us.,1,thankyou sahid bir haru thankyou every thing do u
1238,"Hats off
We need more story about our country history",1,hat need story country history
1239,Tough times create strong men.,1,tough time create strong men
1240,Still not sleeping for this video ️,0,still sleep video
1241,Dherai Dherai dhanyabaad hamro itihas lai ujaagar gareko ma.. Hats off to efforts both in story telling and videography,1,dherai dherai dhanyabaad hamro itihas lai ujaagar gareko hat effort story tell videography
1242,"After this, we want a detailed video on how our beloved Nepal got rid of the tyrant Ranas..",1,want detail video beloved nepal get rid tyrant rana
1243,KAsto goosebumps nai aayo. Thank you for your finest content everytime. God bless you dipesh,1,kasto goosebump nai aayo thank fine content everytime god bless dipesh
1244,I hope you will provide history of Nepal before Prithivi Narayan Shah in future contents... since most of us are unknown about that part of our history.,1,hope provide history nepal prithivi narayan shah future content since u unknown part history
1245,this was so interesting! thank you for making these videos.,1,interesting thank making video
1246,Continue the series please ️,1,continue series please
1247,what a great series... thankyou for this video Team,1,great series thankyou video team
1248,This is for why I pay my internet bill. Great content brother.keep going ️,1,pay internet bill great content brotherkeep go
1249,very insightful story kuddos to team for the effort.,1,insightful story kuddos team effort
1250,just precious history ,1,precious history
1251,How did you collect this our historic scene hat off your effort dai 🇳🇵,1,collect historic scene hat effort dai
1252,"Big Big respect brother
What a lovely Video",1,big big respect brother lovely video
1253,Khatrai vancha yar story tah yesto majja auchani sunna ra bujhna hats off for your hard work and top notch research big big fan from boudha,1,khatrai vancha yar story tah yesto majja auchani sunna ra bujhna hat hard work top notch research big big fan boudha
1254,Heart touching ,1,heart touch
1255,We neeed more parts of this series,1,neeed part series
1256,Never forgotten R.I.P sahid haru,0,never forget rip sahid haru
1257,I usually don't subscribe nepali channels but u just got a subscription ,0,usually dont subscribe nepali channel u get subscription
1258,Can we get a series what happend after that ?? Cause you explain more properly than what we read on social book back tjean,1,get series happend cause explain properly read social book back tjean
1259,We would absolutely love... If you make the similar videos on Rise of Rana Regime too...and hands doy..this is the most informative video I have ever seen on jistoy,1,would absolutely love make similar video rise rana regime tooand hand doythis informative video ever see jistoy
1260,More History and continue the story please.,1,history continue story please
1261,Jai Nepal️,1,jai nepal
1262,Your Team Deserves a lot ️️️️,1,team deserve lot
1263,Wish to see more videos like this.,1,wish see video like
1264,"Can you please continue what happened next
 I myself and all your subscribers would be really happy to see more.",0,please continue happen next subscriber would really happy see
1265,"We need more historical contain 
",1,need historical contain
1266,"Nepalese can watch this series instead of nepali films.
Thrill, emotions, dare of real heros and insight.️",1,nepalese watch series instead nepali film thrill emotion dare real hero insight
1267,Appreciate it bro. Excellent job. Thank you,1,appreciate bro excellent job thank
1268,"Salute xa hamro Sahid haaru KO laagi RW sabai tyo Sahid haaru lai
Tapai KO video here dai ma Pani hajur KO pariwar KO hisaa Bayee  dai️",1,salute xa hamro sahid haaru ko laagi rw sabai tyo sahid haaru lai tapai ko video dai pani hajur ko pariwar ko hisaa bayee dai
1269,"Amazing eplaination daii . hope you make such videos on inernational facts as well so we can gain moree knowledge worldwide like terroist osama bin ladin , world warr or any other intresting topics",1,amaze eplaination daii hope make videos inernational fact well gain moree knowledge worldwide like terroist osama bin ladin world warr intresting topic
1270,This is a great content. Thank you,1,great content thank
1271,Quality content!,1,quality content
1272,Really appreciate your effort️ #TNC,1,really appreciate effort tnc
1273,7:49 salute 🫡 goosebumps,1,749 salute goosebump
1274,Your content are so nice and informative dai,1,content nice informative dai
1275,"Goosebumps
One thing, It is Bhoto Jatra, not Bhotey Jatra.
Anyways great content ",1,goosebump one thing bhoto jatra bhotey jatra anyways great content
1276,Great video. Is there any way to contribute/support your work?,1,great video way contributesupport work
1277,We Also Want the Story Of Lakhan Thapa,1,also want story lakhan thapa
1278,"History has been so interesting, thank you",1,history interesting thank
1279,Wish a film would have been made on this,1,wish film would make
1280,"Please continue this history हामिलाई हाम्रो भुतकालमा भएको सबै घटना हरु जान्न्छ,, राणा शासन र राजा शासन को बारेमा नि जानकारी दिन पर्यो सुरु देखि अन्त्य सम्म को",1,please continue history
1281,I wish this video was there when I studied Social Studies in my school. Great research and content! Waiting for more.,1,wish video study social study school great research content wait
1282,"Yo Part herna etti parkhina tara Title ma ""Last Part"" dekhesi naramro lago ajai part aaucha bhanne aasa ma thiye  Hats Off To Our Martyrs",1,yo part herna etti parkhina tara title last part dekhesi naramro lago ajai part aaucha bhanne aasa thiye hat martyr
1283,Thank you for putting story behind what was just Names and Photos for me.,1,thank put story behind name photo
1284,"It will be a great segue to talk about the revolution afterwards and how in 2007 rana regime was abolished.  Back in school, the information was minimal.",0,great segue talk revolution afterwards 2007 rana regime abolish back school information minimal
1285,After watching 2 videos you made me to press subscribe button.  All the best,1,watch 2 video make press subscribe button best
1286,Great explanation with great quality,1,great explanation great quality
1287,Great work,1,great work
1288,Hami ta goli khayera marne ho was epic hatsoff to our heros and awesome series brother!,1,hami ta goli khayera marne ho epic hatsoff hero awesome series brother
1289,We would be living like North Korean if there were not these Martyrs  They should be remembered every time,1,would live like north korean martyr remember every time
1290,Made me emotional bro!,1,make emotional bro
1291,you did brilliant job,1,brilliant job
1292,next part fast plz ️,0,next part fast plz
1293,One of the best eye opening video series with a lot of in depth research. It's the reason why I have subscribed this channel. Keep up the good work.,1,one best eye open video series lot depth research reason subscribe channel keep good work
1294,Thank you so much bringing up history,1,thank much bringing history
1295,Heartfelt condolences to our great martyr ...jai nepal ama ..Yo saput ko sadhai naam chamkirahoss,0,heartfelt condolence great martyr jai nepal ama yo saput ko sadhai naam chamkirahoss
1296,"now combining all 3 parts, you should upload a single video.",0,combine 3 part upload single video
1297,"@the nepali comment ,please upload one series on the end of Rana regime ",1,nepali comment please upload one series end rana regime
1298,Thank you for this gift on occasion of this day,1,thank gift occasion day
1299,Continue the series.........keen to look forward,1,continue serieskeen look forward
1300,Nice job bro keep it up,1,nice job bro keep
1301,Rest in peace Sabailai ,0,rest peace sabailai
1302,Please make a video of of how tribhuwan fled to india and the events in indian embassy ktm vs ranas. Bir Sahid Salam!,0,please make video tribhuwan flee india event indian embassy ktm v rana bir sahid salam
1303,It was great knowledge keep going*,1,great knowledge keep go
1304,YOU'RE JUST SUPERB,1,youre superb
1305,Please make a video on Rabi lamichanne case ️,1,please make video rabi lamichanne case
1306,Juddha Rana should be taught as he was ! Not like a brave guy in our education system ,1,juddha rana taught like brave guy education system
