,comments,sentiments,clean_comments
280,Aba feri naya shashan suru vako cha tyo pani antya hunalai dherai jana sahid hudai chan..,0,aba feri naya shashan suru vako cha tyo pani antya hunalai dherai jana sahid hudai chan
281,"Hello sir, Ram Bahadur Bomjon ko case ma video banaunu na sir",1,hello sir ram bahadur bomjon ko case video banaunu na sir
282,great,1,great
283,Awesome,1,awesome
284,Bro yespaxi kasari Rana sasan ko antya vayo tesko ni video banau na ,0,bro yespaxi kasari rana sasan ko antya vayo tesko ni video banau na
285,Wait for next part,1,wait next part
287,I wanted to know what/how happened next,1,want know whathow happen next
289,Lakhan Thapa ko barema pani vdo banaunu na.. please,0,lakhan thapa ko barema pani vdo banaunu na please
290,"Next part .....needed ::
Tri party agreement of delhi.......
And  rise of bp koirala...
Establishment of monarchy ....",0,next part need tri party agreement delhi rise bp koirala establishment monarchy
291,aba ahile ko sarkar dhalna pani yestai bir haru uthnu parxa. Ra sabai janta ko saath hunu parxa. There should be a big revolution again in this country,0,aba ahile ko sarkar dhalna pani yestai bir haru uthnu parxa ra sabai janta ko saath hunu parxa big revolution country
292,i  am your fan bro...... please review and guide me with my videos,1,fan bro please review guide video
296,Aankha bata aasu aayo,0,aankha bata aasu aayo
297,"Yeti ramro ra dherie information ta Kasai lie tha xaina hola
Good luck",1,yeti ramro ra dherie information ta kasai lie tha xaina hola good luck
298,Fun Fact: Jay Nepal vanne pailo bekti Sukraraj Sastri Thiye,1,fun fact jay nepal vanne pailo bekti sukraraj sastri thiye
299,Bro timi yo partma ali fast vako daikheyo yasto mailai first time experience garai timro videoma,1,bro timi yo partma ali fast vako daikheyo yasto mailai first time experience garai timro videoma
300,What happened after that we are super excited,1,happen super excited
301,5 more minutes to go. And then... ,1,5 minute go
303,Best video,1,best video
305,And today also there are ranas living in Nepal with all powers and class ...how,1,today also ranas live nepal power class
306,Ramro sir ji,1,ramro sir ji
307,bad video misinformation I didn't didnt liked it at all. i hate it,0,bad video misinformation did'nt didnt like hate
308,I am very sad that they had to sacrifice for the country,0,sad sacrifice country
309,i did not like the way you talk,0,did not like way talk
310,some of the data are wrong and poorly reserached,0,data wrong poor research
311,i wasn't happy watching this wasnt was not but i was sad,0,wasn't happy watch wasnt was not sad
312,The datas are not arent are'nt right.It isnt is'nt is not good.,0,data are not arent are'nt right isnt is'nt is not good
313,Aba raja lay kasari rana ko birod garay ra india gara k k agreement bhayo tesko baray ma documentary banauna paryo next episode ma,0,aba raja lay kasari rana ko birod garay ra india gara k k agreement bhayo tesko baray documentary banauna paryo next episode
315,Babbal,1,babbal
316,It’s Bhoto Jatra not Bhote Jatra sir,1,it s bhoto jatra bhote jatra sir
317,rana regime destroy kasari vayo twsko ni part chaiyo,0,rana regime destroy kasari vayo twsko ni part chaiyo
318,Next story sugaulu treaty?,1,next story sugaulu treaty
319,Bro asti ko hindu vs budhidist bare vedio banaunw sakxauu bhaney bro,1,bro asti ko hindu v budhidist bare vedio banaunw sakxauu bhaney bro
320,bir sahid amar rahun ,1,bir sahid amar rahun
321,कोत पर्वको बारेमा पनि video बनाऊनू परेऊ,1,video
323,How many going to watch this series again,1,many go watch series
326,What happens after this sir?,1,happens sir
327,"how did it even start?????
Prithivi Narayan Shah was the king his son and grandson were supposed to in power?? how did Ranas came to power? and I heard there were good things that ranas did for the people too 
there still are too many unknown things",0,even start prithivi narayan shah king son grandson suppose power rana come power heard good thing ranas people still many unknown thing
328,part 4 haina hola bro part 3 hola,0,part 4 haina hola bro part 3 hola
329,recap bhanera sano part could be better... to recall pre. Part,0,recap bhanera sano part could better recall pre part
330,Still need to fight for the system of Nepal its not different than rana regime,1,still need fight system nepal different rana regime
331,lakhan thapa story now please,1,lakhan thapa story please
332,The Nepali comment️,1,nepali comment
333,This shouldn't be the last part..... We want more,1,shouldnt last part want
334,Freedom isn't free they fought it!,0,freedom isnt free fought
336,Dai ko tah Social Studies ma A++ aouthiyo jasto xa,1,dai ko tah social study aouthiyo jasto xa
337,Beat series in yt fr,1,beat series yt fr
339,want to support you guys please provide any payment method,1,want support guy please provide payment method
340,"Will you please research about banking business in nepal.
Some people says banks are frauding with us.
We really wants to the truth",0,please research banking business nepal people say bank frauding u really want truth
341,3 crores hat ko Salam!,1,3 crore hat ko salam
342,Thanks,1,thanks
343,Hi brother ! Aaile yo rabi lammichane le bhaneko 12 bhai patrakar haru ko detail ma video banaunuss  na,1,hi brother aaile yo rabi lammichane le bhaneko 12 bhai patrakar haru ko detail video banaunuss na
344,Part 3 bhetina maile,0,part 3 bhetina maile
345,Rana regime kasari end vo banaunu paryo,1,rana regime kasari end vo banaunu paryo
347,Hajur le Kun Kun book bata yesko inspiration paunu vako ho vanidinu na.,1,hajur le kun kun book bata yesko inspiration paunu vako ho vanidinu na
348,MCC KO BAREMA ALLI RESEARCH GARERA HALNUS NA HAI,0,mcc ko barema alli research garera halnus na hai
349,Aba rabi dai ko struggle r aaile vaira ko barema video banaunus na,0,aba rabi dai ko struggle r aaile vaira ko barema video banaunus na
350,Aba rabi dai ko struggle r aaile vaira ko barema video banaunus na,0,aba rabi dai ko struggle r aaile vaira ko barema video banaunus na
351,Nepal ko history ko barema thaha paiyo,1,nepal ko history ko barema thaha paiyo
353,1:39 biska jatra ho slight mistake ani it is bhoto jatra take it positively,1,139 biska jatra ho slight mistake ani bhoto jatra take positively
354,Magh 16 gatey is my birthday ...that i always feel bad,0,magh 16 gatey birthday always feel bad
356,Good,1,good
357,If information was that much controlled by them k aiile aso aaile ni vairaxa they are distracting us,0,information much control k aiile aso aaile ni vairaxa distract u
358,Waiting,1,wait
359,Tespaxi congress communists haru le k k garey tesko pani part banaunu na  ...please,1,tespaxi congress communists haru le k k garey tesko pani part banaunu na please
360,Next part,1,next part
362,Waiting for resham chaudhary kanda',1,wait resham chaudhary kanda
363,yesma movie banaunu parxa,1,yesma movie banaunu parxa
364,What a video,1,video
365,Yo desh ko lagi uni haru mareka thiye... tyo aat lai samman !!!,1,yo desh ko lagi uni haru mareka thiye tyo aat lai samman
366,depressing as hell,0,depress hell
367,part 3 khoi,1,part 3 khoi
368,khatra!,1,khatra
369,Bro but Britishers left india in 1947,1,bro britisher leave india 1947
370,Do a series on why King Mahendra scrapped Democracy in Nepal,1,series king mahendra scrap democracy nepal
371,The faught but not for this situation they wanted nepal to suceed,1,faught situation want nepal suceed
373,ganga lal shrestha ek wudharan ho young blood ko,1,ganga lal shrestha ek wudharan ho young blood ko
374,Sahid ko ragat ani tyag ko faida vaneko bhrastacari ko lagi matra vayo janta ahile pani ustai pida ani avab ma chan,0,sahid ko ragat ani tyag ko faida vaneko bhrastacari ko lagi matra vayo janta ahile pani ustai pida ani avab chan
375,dai yestai video aaruni banauna paro,1,dai yestai video aaruni banauna paro
376,Want to know more about sudhir Basnet,1,want know sudhir basnet
377,12:43 ,1,1243
378,Nepal Bank  lee kahile dekhii loan dilaa  sir video   Banaunun,0,nepal bank lee kahile dekhii loan dilaa sir video banaunun
379,hola part part banau nu sajilo hola tara channle ma vaya ko ramro tah akai ma gasara launu ne sjilo heerna lai nee aba secomd chapter kahely 3 kahaelya anime jaso xai garum,0,hola part part banau nu sajilo hola tara channle vaya ko ramro tah akai gasara launu ne sjilo heerna lai nee aba secomd chapter kahely 3 kahaelya anime jaso xai garum
380,But I didnt found lakhan thapa un this story?,0,didnt find lakhan thapa un story
381,please correct the thumbnail. 4 martyrs of Nepal but you are also in the middle. this looks very weird,0,please correct thumbnail 4 martyr nepal also middle look weird
382,Paxi paxi kasari Rana sasan sakiyo Tiyo pani vanu hola,0,paxi paxi kasari rana sasan sakiyo tiyo pani vanu hola
383,"Nepal ko asto company jun ahile share market ma ghata vairako xa jun paxi ramro pani huna sakxa 
Teslai ligera auta video banauna na .",1,nepal ko asto company jun ahile share market ghata vairako xa jun paxi ramro pani huna sakxa teslai ligera auta video banauna na
384,अझै  Detials भेटिन मैले,1,detials
385,Nabujekooo kuro Dashrath chand Nepali ki Indian ho ?? Ani Indian vakooo vaye kina Nepal ko rana ko birodh garekooo any answer ..???,0,nabujekooo kuro dashrath chand nepali ki indian ho ani indian vakooo vaye kina nepal ko rana ko birodh garekooo answer
389,Part 4,1,part 4
390,0:36 ,1,036
391,Gazzab video,1,gazzab video
392,Sukraraj le chai kasto contribution deko raixa??,0,sukraraj le chai kasto contribution deko raixa
393,1997???? Judda samsher le bolayo re.... 1952 ma mareko manxey le kasari bolayo,0,1997 judda samsher le bolayo 1952 mareko manxey le kasari bolayo
394,The Nepali Comment supremacy ️,1,nepali comment supremacy
395,Part 4 ️,1,part 4
396,Jpt date vanyo timle.... Date Lai ramrosanga research garera matra vdo banau soltiii,0,jpt date vanyo timle date lai ramrosanga research garera matra vdo banau soltiii
398,"Nepali story writer haru le yesto story cover garnu, jpt tori story lekchan!",0,nepali story writer haru le yesto story cover garnu jpt tori story lekchan
399,Ani dai rana sasan ko antya kasri vako tyo pani garnu hai,0,ani dai rana sasan ko antya kasri vako tyo pani garnu hai
401,They did Dharma Bhakta Mathema dirty.,0,dharma bhakta mathema dirty
403,Thumbnail ma afulai rakna jaruri theo ra?,0,thumbnail afulai rakna jaruri theo ra
404,Shahid amar rahun,1,shahid amar rahun
405,Yesto desh bhakti aba kaha?,0,yesto desh bhakti aba kaha
406,ko sahid  lai kun thau maa fasi diyo ra mariyo vanera ni vaneko vaye ajha ramro hunthiyo ni,0,ko sahid lai kun thau maa fasi diyo ra mariyo vanera ni vaneko vaye ajha ramro hunthiyo ni
407,Malai yo date chai chitta bujena hai.. Ali,0,malai yo date chai chitta bujena hai ali
409,Dharma bhakta le rana lai thukeko story ne cha,0,dharma bhakta le rana lai thukeko story ne cha
410,Bhimsen thapa ko pani ?,1,bhimsen thapa ko pani
411,18* below viewers excreted,1,18 viewer excrete
412,Jaya sahid,1,jaya sahid
413,Bir Sahid Amar Rahun,1,bir sahid amar rahun
414,Tyo bir yoddha haru ko samjhana ma ...,1,tyo bir yoddha haru ko samjhana
415,Yespachi K vayo,1,yespachi k vayo
416,Seriously? Thumbnail photo is prank. . At lease your photo in grayscale must not include with martyrs.,1,seriously thumbnail photo prank lease photo grayscale must include martyr
417,King mahendra jindabad,1,king mahendra jindabad
419,Khe hoina yo bahunharu chal ho satta pauna tyatikhera dhekhi caal raixa aile bujda sahaidharu sabai kharej garnu parxa,0,khe hoina yo bahunharu chal ho satta pauna tyatikhera dhekhi caal raixa aile bujda sahaidharu sabai kharej garnu parxa
420,Bhoto jatra**,1,bhoto jatra
422,Sutni vnyaa hoinwa,0,sutni vnyaa hoinwa
423,Your picture in the thumbnail was not necessary.,0,picture thumbnail necessary
425,Search ex-muslim on YouTube.,0,search exmuslim youtube
426,I really don't like your thumbnail. It's ridiculous that Mauritius are side and you are at center.I'm not extreme nationalist but I really don't like it.,0,really dont like thumbnail ridiculous mauritius side centerim extreme nationalist really dont like
427,Bir sahid lal salam,1,bir sahid lal salam
429,Yosh,0,yosh
430,Rajtantra jindabad,0,rajtantra jindabad
